canonical	name	version	type	description	links	publication	download	inst_instr	test	src	os	input_	output	dependencies	documentation	license	termsUse	contribPolicy	authors	repository
piana	1	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
fqduplicate-ip	1	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0
cutadapt	14	13	14	14	12	5	12	1	1	12	1	1	1	1	2	13	0	0	1	0
progmap	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rb-pred	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
oriogen	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
predcsf	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
pyfasta	3	1	3	3	1	0	1	0	0	1	2	0	0	0	2	3	0	0	0	0
althapalignr	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
foreseqs	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0
antheprot	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
pangea	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	1	0	0	1	0
iuta	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0
omssa_parser	2	2	2	2	0	2	0	0	0	0	2	2	2	0	2	0	0	0	2	0
bison	1	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0
hobbes	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0
ambertools	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
rci	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jdftx	1	1	1	1	0	1	0	1	0	0	1	0	0	0	1	1	0	0	1	0
ppb	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
imod	1	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
pymut	2	2	2	2	0	2	2	0	0	2	2	2	2	0	2	2	0	0	2	2
nnalign	1	1	1	1	0	1	0	0	0	0	1	1	1	0	1	1	0	0	1	0
webmotifs	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
cnvrd2	3	3	3	3	1	3	3	3	0	0	3	2	2	1	3	3	0	0	3	1
mude	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
viralfusionseq	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	1	0	0	1	0
gmd	1	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
plgem	6	6	6	6	4	3	6	3	0	3	3	0	0	1	3	6	0	0	3	1
mcsnp	1	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
firedock	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
openprimerui	2	2	2	2	0	1	2	2	0	1	2	0	0	1	2	2	0	0	2	1
annotatepeaks-ip	1	1	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0
gk_arrays	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0
bamsignals	6	6	6	6	3	5	6	3	0	3	3	2	2	1	3	6	0	0	3	1
igrepertoireconstructor	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0
probed	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
cbarbel	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
flowrepositoryr	6	6	6	6	3	4	6	3	0	3	3	0	0	1	3	6	0	0	3	1
mzjava	1	0	1	1	0	1	0	1	0	0	1	1	1	0	1	0	0	0	1	0
kb-rank	1	0	1	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0
spotsegmentation	5	5	5	5	3	4	5	3	0	2	3	0	0	1	3	5	0	0	3	1
apeglm	5	5	5	5	3	2	5	2	0	4	2	0	0	1	2	5	0	0	2	2
nmd_classifier	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
ice	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0
hmmstat_genouest	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0
snvmix	2	1	2	2	0	1	0	0	0	0	1	1	1	0	2	1	0	0	1	0
w-iq-tree	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
semibiomarker	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
lncident	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	1	0	0	1	0
opencmiss	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
preopdb	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
swiss-2dpage	1	0	1	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0
aspicdb	1	0	1	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0
firth_tools	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
variobox	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
laj_1-ip	1	1	1	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0
egl_genetics_emvclass	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
acde	6	6	6	6	3	4	6	3	0	3	3	0	0	1	3	6	0	0	3	1
rolexa	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
rdp	2	1	2	2	1	1	1	1	0	1	1	0	0	0	1	1	0	0	1	0
gap	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
xmapbridge	6	6	6	6	4	3	6	3	0	3	3	2	2	1	3	6	0	0	3	1
peptidelocator	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
selecton	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
irefindex	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
pager	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
biocor	2	2	2	2	1	1	2	2	0	1	2	0	0	1	2	2	0	0	2	2
predisi	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
vogdb	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
hapzipper	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
guidance2	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
ccdigest	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
seabed	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
barracuda	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0
pipmaker	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0
trimal	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	0	1	0
netpicorna	1	1	1	1	0	1	0	0	0	0	1	1	1	0	1	1	0	0	1	0
webgivi	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0
megamerger	2	2	2	2	0	1	1	1	0	0	1	1	2	1	2	1	0	0	1	1
guild	1	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
tag	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
gramm-x	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
quark	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
scry	4	4	4	4	0	0	4	0	0	0	4	4	4	0	4	4	0	0	4	4
mbased	6	6	6	6	3	4	6	3	0	3	3	0	0	1	3	6	0	0	3	1
subwai	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
stells	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
iqseq	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
ogee	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
sig2biopax	2	0	2	2	0	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0
logitt	6	6	6	6	4	5	6	3	0	3	3	0	0	1	3	6	0	0	3	1
vivan	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
sgseq	6	6	6	6	3	3	6	3	0	3	3	2	2	1	3	6	0	0	3	1
simreg	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
exms	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
mochiview	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
allertop	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
flowai	7	7	7	7	4	5	6	4	1	4	3	1	1	2	4	6	0	0	3	1
iview	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
carnac	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
hipipe	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
regent	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
svm2crm	3	3	3	3	0	3	3	3	0	0	3	2	2	1	3	3	0	0	3	1
fun	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
rnnotator	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
rnafdl	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
qcut	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
annotationforge	8	8	8	8	5	4	8	3	0	5	3	2	2	1	3	8	0	0	3	1
seealso	1	1	1	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	1	1
acdpretty	1	1	1	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	1	1
gse	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
cnvkit	4	3	4	4	3	2	3	0	0	3	1	0	0	0	1	4	0	0	1	1
hyperdraw	5	5	5	5	2	4	5	3	0	2	3	0	0	1	3	5	0	0	3	1
hgca	1	0	1	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0
goenrichment	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	0	0	1	0
wavcluster	5	5	5	5	2	3	5	3	0	2	3	2	2	1	3	5	0	0	3	1
scanprosite	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
ebcoexpress	4	4	4	4	1	3	4	3	0	1	3	2	2	1	3	4	0	0	3	1
splicedb	1	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
kissde	2	2	2	2	0	1	2	2	0	1	2	0	0	1	2	2	0	0	2	1
lmdme	5	5	5	5	3	3	5	3	0	2	3	0	0	1	3	5	0	0	3	1
tmprime	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
astro	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0
tcgautils	2	2	2	2	0	1	2	2	0	1	2	0	0	1	2	2	0	0	2	2
filter	3	2	3	3	0	2	0	2	2	0	1	2	2	1	2	0	0	0	0	0
ngscopy	3	3	3	3	0	3	3	3	0	0	3	0	0	1	3	3	0	0	3	1
medeller	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
epces	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
teqc	6	6	6	6	3	4	6	3	0	3	3	0	0	1	3	6	0	0	3	1
satrap	2	2	2	2	1	2	1	1	0	1	1	0	0	0	1	2	0	0	1	0
annotatr	3	3	3	3	0	3	3	3	0	0	3	0	0	1	3	3	0	0	3	1
gothic	6	6	6	6	4	4	6	3	0	4	3	0	0	1	3	6	0	0	3	1
blupf90	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0
restfulse	2	2	2	2	0	1	2	2	0	1	2	0	0	1	2	2	0	0	2	1
microrpm	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0
galaxyweb	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
cpbayes	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0
plantpan	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
e-rnai	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
evinet	1	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
pred-gpcr	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
score-seq	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
sfa-spa	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
cap3seqasyprogram	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
mmseq2	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1
contrail	1	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0
falc-loop	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cmr	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0
agris	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
patternexplorer	1	1	1	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0
croppal	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0
cpdb	1	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
fastcontact	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
seqmule	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
platecore	3	3	3	3	1	3	3	3	0	0	3	2	2	1	3	3	0	0	3	1
klifs	4	0	4	4	0	4	0	0	0	0	4	4	4	0	4	0	0	0	4	0
comet_visualisation	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
araport	2	0	2	2	0	2	0	0	0	0	2	0	0	0	2	2	0	0	0	2
optimizer	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0
fusionhunter	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0
antigenic	2	2	2	2	0	1	1	1	1	0	1	1	2	1	2	1	0	0	1	1
trip	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
miamexpress	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
wikigene	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scit	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fimpute	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0
poppunk	2	1	2	2	1	1	2	0	0	1	1	0	0	0	1	2	0	0	0	0
sidirect	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
chipseq	7	7	7	7	5	5	7	3	0	5	3	0	0	1	3	7	0	0	3	1
olego	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0
simcluster	2	0	2	2	0	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0
patient_archive	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
imiss	1	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0
icm_web	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
rsssite	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
sim3c	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0
hyperlasso	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
motifviz	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
tssar	3	1	3	3	1	2	1	0	0	1	2	0	0	0	2	1	0	0	2	0
irootlab	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0
moduleorganizer	1	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
symcurv	1	1	1	1	0	1	1	0	0	0	1	1	1	0	1	0	0	0	1	1
proseq	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
secisearch3_seblastian	1	1	1	1	0	1	0	0	0	0	1	1	1	0	1	1	0	0	1	0
nmrstarlib	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0
microrazers	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
genesplicer	3	2	3	3	2	1	2	0	0	2	1	0	0	0	0	2	0	0	1	0
nmrnet	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
kobamin	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hiannotator	5	5	5	5	2	4	5	3	0	2	3	2	2	1	3	5	0	0	3	1
restricttranscriptlist-ip	1	1	1	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0
tigr_gene_indices	2	1	2	2	1	1	1	0	0	1	1	0	0	0	1	1	0	0	1	0
biotextquest	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0
3dnetmod	1	0	1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0
sharcgs	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
gofuncr	3	3	3	3	1	1	3	2	0	2	2	0	0	1	2	3	0	0	2	2
menu-builder	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
tximport	6	6	6	6	4	3	6	3	0	4	3	0	0	1	3	6	0	0	3	1
magicviewer	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
psrnatarget	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
proteinguru	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
streamer	7	7	7	7	4	5	7	3	0	4	3	0	0	1	3	7	0	0	3	1
chebi_ws	1	1	1	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0
mustguseal	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
bestsel	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
pcit_r_package	1	1	1	1	0	1	0	1	0	0	1	0	0	0	1	1	0	0	1	1
bcov	2	2	2	2	1	2	1	0	0	1	1	1	1	0	1	1	0	0	1	0
cake	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0
misfinder	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
compss	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0
isoexpresso	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
suprahex	6	6	6	6	4	3	6	3	0	3	3	0	0	1	3	6	0	0	3	1
pathway-pdt	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
ribotaper	2	2	2	2	1	2	1	0	0	1	1	1	1	0	1	1	0	0	1	0
ccpromise	3	3	3	3	0	3	3	3	0	0	3	0	0	1	3	3	0	0	3	1
reciprocal_smallest_distance_rsd	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0
promzea	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
pavian	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0
hlareporter	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
infoseq	2	2	2	2	0	1	1	1	0	0	1	1	2	1	2	1	0	0	1	1
local_clustering	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
isotopident	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
dart	3	3	3	3	0	3	3	3	0	0	3	0	0	1	3	3	0	0	3	1
gmdr	1	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0
pydstool	1	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1
fractalsim	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
supermatcher	2	2	2	2	0	1	1	1	0	0	1	2	2	1	2	1	0	0	1	1
mhcflurry	1	1	1	1	0	1	0	1	0	0	1	0	0	0	1	1	0	0	1	0
annovar_annotate_variation-ip	1	1	1	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0
cnanorm	7	7	7	7	5	3	7	3	0	4	3	0	0	1	3	7	0	0	3	1
dalilite	1	1	1	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0
pteros	1	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
bicare	7	7	7	7	5	5	7	3	0	4	3	0	0	1	3	7	0	0	3	1
mutationmotif	1	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
protcid	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0
fqextract-ip	1	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0
heatmaps	5	5	5	5	3	1	5	2	0	4	2	0	0	1	2	5	0	0	2	1
jecho	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
snpack	1	1	1	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0
